rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
10,4924,1,00:45:58,82757,3,1,9,net shot,0.0,1,2.0,1,1.4048780487804875,0.1818229166666668,,,2,253.6,408.26,8,225.7,632.03,0,0,4923,6
11,4924,2,01:05:07,117224,10,5,34,net shot,0.0,1,2.0,1,1.0682926829268296,0.4296875,,,8,198.5,311.49,8,128.9,731.13,0,0,4923,6
12,4924,3,00:14:47,26632,5,9,9,lob,0.0,0,1.0,9,-0.4292682926829267,-1.4583333333333333,,,8,227.7,615.07,8,179.2,295.52,0,0,4923,6
13,4924,4,00:50:02,90064,15,18,34,short service,0.0,1,2.0,8,0.2695121951219511,-0.5540625,,,8,165.9,645.69,8,228.6,301.39,0,0,4923,6
14,4924,5,00:55:36,100080,11,8,9,defensive shot,0.0,1,2.0,5,-1.376829268292683,-0.5272916666666667,no such data,34,8,170.9,660.55,3,64.8,198.8,0,0,4923,6
15,4925,1,00:23:44,42746,15,16,29,smash,0.0,0,2.0,6,-1.275609756097561,0.9872916666666663,,,9,153.7,187.61,8,196.0,716.04,0,0,4924,5
16,4925,2,00:41:25,74561,20,18,6,net shot,0.0,0,2.0,1,0.9573170731707316,0.4678645833333335,,,8,205.1,350.43,8,182.3,653.88,0,0,4924,5
17,4925,3,00:49:51,89759,11,6,29,clear,0.0,0,1.0,3,-0.8719512195121951,-1.4807291666666669,,,8,122.7,731.88,8,154.4,285.27,0,0,4924,5
18,4925,4,00:14:56,26896,9,12,6,push/rush,0.0,0,2.0,3,-1.1914634146341463,-1.4116145833333331,,,8,233.5,616.8,8,187.5,315.28,0,0,4924,5
19,4925,5,00:37:27,67419,26,24,29,drop,1.0,0,2.0,2,1.020731707317073,0.0183854166666665,touched the net,6,8,207.9,204.96,8,153.2,732.78,0,0,4924,5
20,4926,1,00:58:27,105214,0,1,19,lob,0.0,1,,4,-1.4621951219512197,1.6236458333333337,,,7,227.4,373.6,8,181.8,645.86,0,0,4925,22
21,4926,2,00:59:57,107926,15,16,31,short service,0.0,1,2.0,7,-0.3987804878048779,0.3729166666666668,,,8,183.4,356.71,8,124.1,680.97,0,0,4925,22
22,4926,3,01:06:40,120019,10,5,19,defensive shot,0.0,0,2.0,7,0.0841463414634147,0.5203645833333331,,,8,117.9,295.63,8,133.2,744.31,0,0,4925,22
23,4926,4,00:52:12,93965,13,9,31,defensive shot,0.0,1,1.0,7,-0.4170731707317072,0.6205208333333333,,,8,170.9,293.11,8,217.0,752.02,0,0,4925,22
24,4926,5,01:16:38,137969,20,10,19,net shot,0.0,0,2.0,1,-1.0353658536585366,-0.2551041666666667,,,8,154.9,595.97,8,154.6,296.46,0,0,4925,22
25,4926,6,00:27:13,49000,19,11,31,net shot,0.0,1,2.0,2,1.1987804878048782,-0.2718229166666666,,,8,216.1,597.76,8,171.9,310.69,0,0,4925,22
26,4926,7,00:50:57,91722,18,18,19,defensive shot,0.0,0,2.0,2,1.2378048780487805,-0.2916666666666667,,,8,246.0,685.42,8,225.0,224.86,0,0,4925,22
27,4926,8,00:48:42,87666,10,9,31,defensive shot,0.0,1,1.0,8,-0.0560975609756096,0.6798958333333331,,,8,163.0,287.93,5,260.3,704.74,0,0,4925,22
28,4926,9,00:24:04,43320,20,11,19,push/rush,0.0,0,1.0,6,-1.3170731707317074,1.019375,,,5,87.6,359.02,8,137.0,650.81,0,0,4925,22
29,4926,10,01:32:38,166750,16,16,31,defensive shot,0.0,0,2.0,2,-1.10609756097561,0.2889583333333334,,,8,128.7,277.73,9,122.8,779.82,0,0,4925,22
30,4926,11,01:12:52,131176,17,7,19,drop,0.0,0,2.0,7,0.7426829268292684,-0.5004687499999999,,,9,152.7,772.56,8,156.8,312.25,0,0,4925,22
31,4926,12,00:09:14,16639,3,0,31,defensive shot,0.0,1,1.0,5,-1.0865853658536584,-0.6216666666666667,,,8,191.9,647.88,8,127.3,228.18,0,0,4925,22
32,4926,13,00:58:11,104743,0,1,19,smash,0.0,0,2.0,8,-0.6341463414634146,0.91671875,,,8,219.5,207.1,8,206.7,666.78,0,0,4925,22
33,4926,14,00:49:29,89098,11,9,31,lob,0.0,1,1.0,9,-0.7085365853658536,1.6291666666666664,,,8,234.8,356.19,8,232.0,708.1,0,0,4925,22
34,4926,15,00:18:07,32634,14,5,19,clear,0.0,0,1.0,3,1.124390243902439,1.5280208333333334,,,8,239.0,204.01,8,222.5,668.85,0,0,4925,22
35,4926,16,00:39:10,70523,5,3,31,defensive shot,0.0,1,2.0,2,-0.8817073170731707,0.4369791666666665,,,8,164.1,287.92,8,246.6,750.47,0,0,4925,22
36,4926,17,00:49:03,88295,17,17,19,short service,0.0,1,2.0,7,-0.6280487804878049,-0.1683333333333333,,,8,187.2,644.05,8,132.4,314.81,0,0,4925,22
37,4926,18,00:32:13,58001,2,0,31,net shot,0.0,1,2.0,2,-1.198780487804878,0.3450520833333333,,,8,148.0,350.07,8,197.4,656.26,0,0,4925,22
38,4926,19,00:39:18,70765,10,8,19,defensive shot,0.0,0,2.0,2,1.1792682926829268,-0.2780208333333333,,,8,218.7,695.55,8,193.6,251.53,0,0,4925,22
39,4926,20,00:47:10,84912,15,5,31,net shot,0.0,1,2.0,2,-0.9585365853658536,0.2689583333333332,,,8,136.2,335.64,8,161.2,659.57,0,0,4925,22
40,4926,21,00:20:30,36901,16,7,19,push/rush,0.0,0,1.0,8,0.8378048780487803,1.0435416666666668,,,8,108.2,356.53,8,129.8,654.45,0,0,4925,22
41,4926,22,00:08:36,15502,3,1,31,drop,1.0,0,2.0,6,1.0951219512195125,-0.6566666666666666,opponent's ball landed,19,8,114.2,740.77,8,140.6,282.91,0,0,4925,22
42,4927,1,00:39:03,70303,7,11,32,defensive shot,0.0,1,2.0,10,2.253658536585366,-1.20390625,not pass over the net,32.0,8,134.4,290.84,9,168.2,761.76,0,0,4926,1
43,4928,1,00:24:40,44405,19,9,23,push/rush,0.0,1,2.0,7,-0.0390243902439023,0.2312499999999998,touched the net,3,2,99.4,587.84,8,134.2,337.57,0,0,4927,1
44,4929,1,00:23:10,41707,13,11,10,net shot,0.0,0,1.0,8,-0.6609756097560976,-0.8694270833333334,,,5,293.6,660.22,7,217.2,378.85,0,0,4928,12
45,4929,2,00:20:26,36791,16,7,19,net shot,0.0,0,2.0,7,0.9329268292682928,0.1965104166666667,,,7,115.3,379.79,8,191.6,642.21,0,0,4928,12
46,4929,3,01:11:37,128931,15,7,10,defensive shot,0.0,1,2.0,7,0.5951219512195123,0.5016666666666669,,,8,213.5,322.8,8,217.6,627.17,0,0,4928,12
47,4929,4,01:14:45,134576,19,7,19,push/rush,0.0,0,1.0,8,0.9170731707317072,-0.96046875,,,8,225.1,611.41,8,168.2,330.96,0,0,4928,12
48,4929,5,00:18:30,33300,10,9,10,lob,0.0,1,1.0,9,-0.8451219512195122,1.5410416666666666,,,8,208.7,321.81,8,172.2,629.72,0,0,4928,12
49,4929,6,00:24:00,43229,20,11,19,short service,0.0,1,2.0,7,-0.2560975609756097,0.3088541666666664,,,8,181.8,322.09,8,120.4,659.88,0,0,4928,12
50,4929,7,00:55:32,99975,11,8,10,long service,0.0,1,1.0,8,0.7597560975609757,1.4609375,,,8,165.2,311.78,8,201.0,623.74,0,0,4928,12
51,4929,8,00:51:43,93096,18,19,19,net shot,0.0,0,2.0,7,-0.647560975609756,-0.2940624999999999,,,8,235.2,611.58,8,171.7,293.67,0,0,4928,12
52,4929,9,00:57:34,103631,12,9,10,short service,0.0,1,2.0,8,0.3170731707317073,-0.5882291666666667,,,8,169.2,621.76,8,232.9,319.77,0,0,4928,12
53,4929,10,00:54:59,98975,20,22,19,defensive shot,0.0,1,2.0,1,-1.3146341463414637,-0.2295312499999999,,,8,217.9,690.29,9,246.3,189.75,0,0,4928,12
54,4929,11,00:16:54,30444,10,11,10,smash,1.0,0,2.0,5,-1.10609756097561,-0.90515625,,,9,118.0,772.9,8,152.6,300.72,0,0,4928,12
55,4929,12,00:50:23,90702,17,18,19,defensive shot,0.0,1,2.0,1,-1.1134146341463411,-0.298125,no such data,30,8,218.1,684.99,9,186.1,177.25,0,0,4928,1
56,4931,1,00:12:58,23369,3,3,23,drop,0.0,0,2.0,5,-1.003658536585366,-0.6323958333333334,,,3,269.0,781.75,8,182.2,320.65,0,0,4930,8
57,4931,2,00:08:18,14949,3,2,25,short service,0.0,1,2.0,7,0.4097560975609755,-0.3842708333333332,,,8,168.8,625.25,8,207.4,300.07,0,0,4930,8
58,4931,3,00:42:29,76476,7,12,23,drop,0.0,0,1.0,2,-1.1378048780487804,0.4434895833333332,,,8,123.9,230.82,8,171.4,670.22,0,0,4930,8
59,4931,4,00:25:07,45214,21,16,25,push/rush,0.0,1,1.0,5,-1.0926829268292682,-1.0041145833333334,,,8,115.8,608.52,8,141.9,316.25,0,0,4930,8
60,4931,5,01:03:49,114875,16,7,23,drop,0.0,1,2.0,1,1.119512195121951,0.5016145833333331,,,8,236.0,256.05,8,231.0,681.49,0,0,4930,8
61,4931,6,00:32:12,57984,4,5,25,net shot,0.0,1,2.0,7,0.5402439024390245,0.5229166666666666,,,8,242.5,335.92,8,214.9,655.46,0,0,4930,8
62,4931,7,00:57:56,104281,9,4,23,drop,0.0,1,2.0,1,-1.2000000000000002,-0.2472395833333334,,,8,107.3,702.08,8,121.9,328.53,0,0,4930,8
63,4931,8,00:22:08,39841,18,14,25,defensive shot,0.0,1,2.0,10,-2.6439024390243904,0.2751562500000002,not pass over the net,23,8,192.8,697.77,8,114.8,214.35,0,0,4930,8
64,4932,1,00:06:38,11940,2,3,6,smash,0.0,0,2.0,6,0.971951219512195,-0.9873958333333333,,,9,204.4,765.26,8,160.6,303.54,0,0,4931,2
65,4932,2,00:16:00,28823,13,8,25,smash,0.0,0,2.0,6,1.3560975609756096,-0.8782291666666667,opponent's ball landed,6,8,146.3,725.93,8,162.7,299.65,0,0,4931,2
66,4933,1,00:23:57,43135,17,11,24,lob,0.0,1,1.0,6,-1.4292682926829268,1.4069270833333334,,,1,91.8,367.58,8,200.4,728.1,0,0,4932,2
67,4933,2,00:46:03,82900,3,1,26,net shot,0.0,1,2.0,2,-1.1646341463414631,0.1884375,not pass over the net,26.0,8,191.4,668.75,8,216.9,250.11,0,0,4932,4
68,4934,1,00:26:59,48593,16,17,1,net shot,0.0,1,2.0,7,-0.1500000000000001,-0.2582812499999998,,,7,132.5,569.18,8,167.2,337.42,0,0,4933,4
69,4934,2,00:12:31,22553,10,5,4,short service,0.0,1,2.0,2,-0.9365853658536584,0.6346875000000001,,,8,188.1,285.54,8,138.0,630.13,0,0,4933,4
70,4934,3,00:25:34,46043,14,17,1,defensive shot,0.0,0,2.0,7,0.2512195121951219,-0.3829687499999998,no such data,11,8,198.8,678.34,10,94.7,135.07,0,0,4933,1
71,4936,1,00:47:21,85235,11,3,29,lob,0.0,0,1.0,4,1.3134146341463413,-1.4920833333333334,,,1,259.5,572.66,8,200.0,310.91,0,0,4935,5
72,4936,2,01:05:03,117092,10,5,34,net shot,0.0,0,2.0,1,1.0731707317073171,0.5671354166666666,,,8,138.1,363.63,8,157.7,718.45,0,0,4935,5
73,4936,3,00:10:35,19076,4,4,29,clear,1.0,0,1.0,5,1.4402439024390246,1.3517708333333331,,,8,209.3,241.25,8,221.2,732.39,0,0,4935,5
74,4936,4,01:07:38,121740,12,5,34,net shot,0.0,1,2.0,1,-1.1158536585365857,-0.3054687499999999,,,8,129.0,622.07,8,241.4,346.29,0,0,4935,5
75,4936,5,00:35:18,63553,23,24,29,defensive shot,0.0,0,2.0,1,1.1585365853658536,0.2976041666666666,opponent's ball landed,34,8,148.1,301.63,3,284.5,792.64,0,0,4935,5
76,4937,1,00:20:01,36043,16,13,25,defensive shot,0.0,1,2.0,1,-1.2963414634146342,-0.3469791666666666,,,6,96.3,677.45,8,155.9,264.77,0,0,4936,5
77,4937,2,00:39:12,70571,6,6,27,clear,0.0,0,1.0,3,-1.3402439024390245,-1.5203125,,,8,134.4,724.91,8,152.4,248.76,0,0,4936,5
78,4937,3,00:09:23,16908,4,3,25,net shot,0.0,0,2.0,7,-0.8317073170731708,-0.2269270833333333,,,8,201.8,600.19,8,176.9,323.66,0,0,4936,5
79,4937,4,00:07:41,13836,1,2,27,clear,0.0,0,1.0,6,-0.9865853658536586,1.49734375,,,8,120.2,229.26,8,137.8,697.82,0,0,4936,5
80,4937,5,00:22:08,39841,18,14,25,defensive shot,0.0,1,2.0,10,-2.6439024390243904,0.2751562500000002,not pass over the net,27,8,192.8,697.77,8,114.8,214.35,0,0,4936,5
81,4938,1,00:44:23,79892,11,19,15,clear,0.0,0,1.0,9,0.7890243902439023,1.623802083333333,,,10,216.8,149.32,8,208.6,669.21,0,0,4937,5
82,4938,2,00:45:05,81168,20,12,25,defensive shot,0.0,0,2.0,7,0.8451219512195123,0.4560416666666664,,,8,131.4,243.88,8,141.9,607.24,0,0,4937,5
83,4938,3,00:08:56,16108,3,6,15,clear,0.0,0,1.0,4,1.1024390243902435,-1.4611458333333331,,,8,225.3,751.1,8,169.0,319.6,0,0,4937,5
84,4938,4,00:20:09,36272,16,13,25,defensive shot,0.0,1,2.0,1,-1.1609756097560977,-0.2600520833333333,,,8,200.1,646.98,8,152.1,251.89,0,0,4937,5
85,4938,5,00:54:09,97470,18,9,15,push/rush,0.0,0,2.0,10,-1.1597560975609755,0.2986979166666668,out,25,8,138.3,722.16,8,149.3,576.38,0,0,4937,5
86,4939,1,00:49:19,88788,12,10,12,net shot,0.0,1,2.0,1,1.4012195121951216,0.313125,,,6,266.2,344.86,8,124.7,737.59,0,0,4938,4
87,4939,2,00:20:47,37439,16,14,33,defensive shot,0.0,1,2.0,7,0.7573170731707316,0.6400520833333333,,,8,174.0,300.66,9,247.5,764.14,0,0,4938,4
88,4939,3,00:47:36,85694,11,9,12,smash,1.0,0,2.0,5,1.0012195121951222,0.9624479166666664,,,9,230.1,181.9,8,228.1,703.86,0,0,4938,4
89,4939,4,00:26:05,46976,1,2,33,smash,0.0,0,2.0,10,-1.680487804878049,-1.1624479166666666,out,12,8,206.4,725.97,8,145.2,289.17,0,0,4938,4
90,4940,1,00:55:01,99050,20,22,19,clear,1.0,0,1.0,9,0.6634146341463415,-1.4461979166666663,,,4,94.0,770.23,5,72.9,331.9,0,0,4939,23
91,4940,2,00:20:17,36530,12,8,23,net shot,0.0,0,2.0,1,-1.3878048780487804,-0.2895833333333334,,,5,252.4,607.91,8,241.6,259.4,0,0,4939,23
92,4940,3,01:01:29,110692,4,2,19,defensive shot,0.0,1,1.0,8,-0.052439024390244,1.02796875,,,8,147.7,267.14,8,199.6,630.78,0,0,4939,23
93,4940,4,00:24:02,43268,18,9,23,defensive shot,0.0,1,2.0,2,1.1878048780487802,-0.27171875,,,8,137.7,690.64,8,117.5,263.6,0,0,4939,23
94,4940,5,00:29:31,53144,1,0,19,net shot,0.0,1,2.0,2,1.2597560975609758,-0.2491145833333332,,,8,137.2,615.94,8,170.0,327.96,0,0,4939,23
95,4940,6,00:34:27,62024,2,3,23,short service,0.0,1,2.0,7,0.651219512195122,0.5315624999999997,,,8,158.2,337.98,8,219.0,667.28,0,0,4939,23
96,4940,7,00:54:19,97799,20,21,19,net shot,0.0,1,2.0,2,1.0097560975609758,-0.2372916666666666,,,8,152.2,612.19,5,101.1,288.85,0,0,4939,23
97,4940,8,00:35:54,64636,2,6,23,clear,0.0,0,1.0,6,-1.2195121951219512,1.0611979166666667,,,5,99.6,206.51,8,153.6,689.13,0,0,4939,23
98,4940,9,00:25:45,46351,20,15,19,short service,0.0,1,2.0,7,0.7378048780487805,0.2196354166666667,,,8,169.9,315.65,8,219.9,661.46,0,0,4939,23
99,4940,10,00:34:13,61601,2,2,23,smash,0.0,0,2.0,6,-1.0329268292682927,0.9307291666666668,,,8,114.1,227.28,8,189.8,641.46,0,0,4939,23
100,4940,11,00:54:59,98975,20,22,19,defensive shot,0.0,1,2.0,1,-1.3146341463414637,-0.2295312499999999,,,8,217.9,690.29,9,246.3,189.75,0,0,4939,23
101,4940,12,00:58:29,105282,10,4,23,smash,0.0,0,2.0,5,-1.0317073170731708,-0.9461458333333336,,,9,154.7,773.16,8,147.9,331.93,0,0,4939,23
102,4940,13,00:07:32,13576,1,1,19,defensive shot,0.0,1,2.0,7,0.4878048780487805,0.48953125,,,8,159.3,312.3,8,236.7,736.16,0,0,4939,23
103,4940,14,00:35:14,63448,2,5,23,clear,1.0,0,1.0,5,1.3280487804878045,1.2788541666666664,,,8,209.5,287.48,8,219.6,651.06,0,0,4939,23
104,4940,15,00:59:51,107746,2,2,19,defensive shot,0.0,0,1.0,6,-1.2000000000000002,0.8424479166666666,,,8,136.4,299.22,8,185.8,712.23,0,0,4939,23
105,4940,16,00:23:53,43005,18,9,23,push/rush,0.0,1,1.0,8,0.6463414634146342,-0.91703125,,,8,162.2,646.64,8,183.3,347.14,0,0,4939,23
106,4940,17,00:50:20,90603,17,18,19,defensive shot,0.0,0,2.0,6,1.0292682926829266,-0.5583854166666665,,,8,236.2,681.71,8,189.0,261.47,0,0,4939,23
107,4940,18,00:51:37,92910,2,0,23,defensive shot,0.0,1,1.0,5,-1.318292682926829,-1.3599479166666668,,,8,153.5,700.98,8,132.0,325.74,0,0,4939,23
108,4940,19,01:16:31,137739,20,10,19,long service,0.0,1,1.0,5,-0.9439024390243904,-1.350572916666667,,,8,183.3,634.39,8,133.9,279.92,0,0,4939,23
109,4940,20,00:26:25,47574,19,13,23,short service,0.0,1,2.0,7,-0.4121951219512196,-0.2554166666666668,,,8,185.0,652.43,8,129.3,334.55,0,0,4939,23
110,4940,21,00:59:51,107746,2,2,19,defensive shot,0.0,0,1.0,6,-1.2000000000000002,0.8424479166666666,,,8,136.4,299.22,8,185.8,712.23,0,0,4939,23
111,4940,22,00:27:21,49237,19,15,23,short service,0.0,1,2.0,7,-0.326829268292683,-0.3376041666666666,,,8,185.9,657.89,8,128.1,298.44,0,0,4939,23
112,4940,23,00:13:00,23420,8,4,19,smash,0.0,0,2.0,7,-0.2634146341463414,-0.0175520833333333,touched the net,23,8,244.9,207.72,8,217.2,683.2,0,0,4939,23
113,4941,1,00:14:39,26382,14,20,2,smash,0.0,0,2.0,6,1.360975609756098,-0.9853645833333332,,,9,234.5,765.16,8,177.7,299.41,0,0,4940,4
114,4941,2,00:35:14,63448,2,5,23,clear,1.0,0,1.0,5,1.3280487804878045,1.2788541666666664,,,8,209.5,287.48,8,219.6,651.06,0,0,4940,4
115,4941,3,00:45:52,82589,21,15,2,defensive shot,0.0,0,2.0,7,-0.1158536585365853,0.4018749999999998,,,8,118.0,310.46,8,142.5,732.7,0,0,4940,4
116,4941,4,00:24:08,43440,18,9,23,net shot,0.0,0,2.0,2,-0.948780487804878,0.1042187499999999,not pass over the net,2,8,205.6,637.94,8,169.7,258.08,0,0,4940,4
117,4942,1,00:15:30,27926,8,10,29,net shot,0.0,0,2.0,2,-1.3865853658536589,0.1931249999999999,,,1,100.0,415.74,7,132.1,591.3,0,0,4941,11
118,4942,2,00:14:03,25318,5,8,9,lob,0.0,0,1.0,3,-1.1085365853658538,-1.49984375,,,7,235.8,580.19,8,179.8,326.24,0,0,4941,11
119,4942,3,00:47:22,85289,11,3,29,defensive shot,0.0,1,2.0,7,-0.3109756097560975,-0.4596354166666667,,,8,211.9,669.42,4,272.2,180.83,0,0,4941,11
120,4942,4,00:57:40,103816,12,9,9,smash,1.0,0,2.0,5,0.9914634146341464,1.14453125,,,4,254.7,176.65,8,208.6,678.87,0,0,4941,11
121,4942,5,00:43:38,78551,6,3,29,long service,0.0,0,1.0,4,1.0597560975609754,-1.5568749999999998,,,8,167.7,673.57,8,229.5,249.46,0,0,4941,11
122,4942,6,00:37:56,68297,20,20,9,clear,1.0,0,1.0,4,0.9646341463414634,-1.5854166666666665,,,8,121.7,704.13,8,138.6,303.66,0,0,4941,11
123,4942,7,00:13:57,25136,7,8,29,short service,0.0,0,2.0,1,1.2365853658536583,0.5326562499999999,,,8,156.1,282.48,8,231.7,698.54,0,0,4941,11
124,4942,8,00:45:33,82018,2,0,9,defensive shot,0.0,1,2.0,8,-0.7634146341463414,-0.55890625,,,8,136.6,660.13,3,83.1,177.15,0,0,4941,11
125,4942,9,00:32:54,59240,22,22,29,drop,0.0,0,2.0,2,-1.2048780487804878,0.3126562499999998,,,3,102.8,169.69,8,129.9,688.6,0,0,4941,11
126,4942,10,00:07:58,14351,1,2,9,lob,0.0,0,1.0,6,1.0109756097560971,-1.3325,,,8,166.7,619.12,8,153.1,300.95,0,0,4941,11
127,4942,11,00:14:29,26077,8,8,29,clear,0.0,1,2.0,10,1.6768292682926829,1.7472395833333334,out,9,8,220.9,278.05,8,240.0,656.32,0,0,4941,11
128,4943,1,00:24:30,44124,14,15,1,net shot,0.0,0,2.0,7,-0.6097560975609756,-0.4020833333333333,,,5,251.5,652.28,9,219.4,195.35,0,0,4942,9
129,4943,2,00:15:47,28416,9,8,28,smash,0.0,0,2.0,5,-1.2414634146341463,-1.1989583333333331,,,9,132.1,785.95,8,170.4,308.79,0,0,4942,9
130,4943,3,00:25:33,45996,14,17,1,long service,0.0,1,1.0,5,-1.0048780487804878,-1.3348958333333334,,,8,185.3,647.91,8,134.4,280.0,0,0,4942,9
131,4943,4,00:47:31,85544,12,10,28,defensive shot,0.0,1,2.0,7,0.5951219512195123,0.4622916666666666,,,8,218.4,269.39,8,250.5,744.18,0,0,4942,9
132,4943,5,00:27:03,48699,16,17,1,net shot,0.0,0,2.0,7,-0.4439024390243903,-0.16984375,,,8,149.4,596.38,8,138.4,297.21,0,0,4942,9
133,4943,6,00:37:32,67562,5,4,28,push/rush,0.0,1,1.0,3,1.0390243902439025,1.5175,,,8,156.9,361.71,8,194.3,628.44,0,0,4942,9
134,4943,7,00:24:25,43973,14,15,1,lob,0.0,0,1.0,3,-0.9926829268292684,-1.3771354166666665,,,8,187.3,601.18,8,205.1,291.5,0,0,4942,9
135,4943,8,00:29:06,52391,19,20,28,smash,0.0,0,2.0,6,1.0195121951219517,-1.0213541666666668,,,8,240.5,743.22,8,195.6,253.11,0,0,4942,9
136,4943,9,00:40:12,72361,8,5,1,smash,1.0,0,2.0,5,1.4426829268292685,1.3322916666666664,opponent's ball landed,28,8,219.3,222.31,8,226.5,643.03,0,0,4942,9
137,4944,1,00:59:43,107515,14,12,6,net shot,0.0,1,2.0,2,-1.4268292682926829,0.4302083333333334,,,7,126.9,374.21,8,182.7,666.2,0,0,4943,7
138,4944,2,00:30:34,55029,21,16,9,net shot,0.0,0,2.0,5,-0.9341463414634146,-0.6785416666666665,,,8,194.7,684.55,9,240.9,195.7,0,0,4943,7
139,4944,3,01:07:26,121383,19,18,6,drive,0.0,0,2.0,6,-0.9231707317073172,0.8944270833333334,,,9,107.1,192.73,8,152.0,658.72,0,0,4943,7
140,4944,4,00:15:55,28679,6,10,9,short service,0.0,1,2.0,7,-0.5390243902439023,-0.3132812499999999,,,8,182.0,603.8,8,126.0,280.35,0,0,4943,7
141,4944,5,00:23:08,41640,1,3,6,defensive shot,0.0,0,1.0,8,0.528048780487805,1.0203645833333332,,,8,143.7,320.69,8,158.3,654.04,0,0,4943,7
142,4944,6,01:06:40,120018,18,17,9,defensive shot,0.0,1,2.0,7,0.2914634146341464,0.3580208333333334,,,8,125.5,241.86,8,111.9,735.32,0,0,4943,7
143,4944,7,00:36:27,65613,15,13,6,clear,1.0,0,2.0,10,1.697560975609756,1.5509895833333331,out,9,8,238.5,225.88,8,213.9,679.62,0,0,4943,7
144,4945,1,00:33:32,60372,5,3,19,drop,0.0,0,2.0,2,-1.3060975609756096,0.1409895833333333,touched the net,7,10,83.9,820.76,8,148.9,324.43,0,0,4944,1
145,4946,1,00:08:54,16032,2,2,19,push/rush,0.0,1,1.0,5,1.2487804878048778,1.3965104166666666,,,6,259.1,353.91,8,173.5,643.83,0,0,4945,10
146,4946,2,00:16:36,29892,9,2,11,drop,0.0,1,2.0,1,1.1646341463414631,0.3851041666666669,,,8,236.7,225.35,8,155.5,666.57,0,0,4945,10
147,4946,3,00:46:30,83728,16,13,19,clear,1.0,0,1.0,3,-1.2353658536585366,-1.3908333333333331,,,8,134.5,753.82,8,151.4,324.49,0,0,4945,10
148,4946,4,00:59:10,106506,18,16,11,net shot,0.0,1,2.0,7,-0.0097560975609757,-0.0477604166666667,,,8,140.2,629.85,8,164.5,270.85,0,0,4945,10
149,4946,5,00:25:52,46565,20,15,19,defensive shot,0.0,1,1.0,8,0.6975609756097559,1.254322916666667,,,8,140.9,351.35,8,207.4,657.55,0,0,4945,10
150,4946,6,00:28:38,51563,20,20,11,net shot,0.0,0,2.0,7,0.274390243902439,0.4772916666666666,,,8,179.6,363.66,8,179.4,684.02,0,0,4945,10
151,4946,7,00:32:19,58178,3,3,19,net shot,0.0,0,2.0,7,0.0317073170731706,-0.3022916666666668,,,8,247.5,633.51,8,236.2,282.27,0,0,4945,10
152,4946,8,00:08:17,14935,1,0,11,drop,1.0,0,2.0,2,-1.1146341463414635,0.5913541666666665,,,8,234.6,212.16,8,192.4,693.42,0,0,4945,10
153,4946,9,00:20:16,36508,16,7,19,net shot,0.0,0,2.0,1,1.1317073170731708,0.4140625,,,8,140.1,345.4,8,186.8,620.75,0,0,4945,10
154,4946,10,00:44:27,80022,8,8,11,drop,0.0,1,2.0,1,0.9743902439024392,0.1273437499999999,touched the net,11.0,8,137.6,698.61,8,145.2,304.01,0,0,4945,10
